name,country,designation,polyID,point,Acanthixalus_spinosus,Afrixalus_dorsalis,Afrixalus_fulvovittatus,Afrixalus_laevis,Afrixalus_paradorsalis,Afrixalus_quadrivittatus,Afrixalus_vittiger,Afrixalus_weidholzi,Alexteroon_hypsiphonus,Amietophrynus_camerunensis,Amietophrynus_djohongensis,Amietophrynus_gracilipes,Amietophrynus_latifrons,Amietophrynus_maculatus,Amietophrynus_regularis,Amietophrynus_steindachneri,Amietophrynus_superciliaris,Amietophrynus_togoensis,Amietophrynus_tuberosus,Amietophrynus_xeros,Arthroleptis_adelphus,Arthroleptis_poecilonotus,Arthroleptis_sylvaticus,Arthroleptis_variabilis,Astylosternus_diadematus,Astylosternus_laurenti,Astylosternus_montanus,Astylosternus_occidentalis,Astylosternus_rheophilus,Aubria_occidentalis,Bufo_pentoni,Cardioglossa_gracilis,Cardioglossa_leucomystax,Cardioglossa_nigromaculata,Cardioglossa_pulchra,Chiromantis_rufescens,Chlorolius_koehleri,Conraua_alleni,Conraua_crassipes,Conraua_robusta,Geotrypetes_seraphini,Hemisus_guineensis,Hemisus_marmoratus,Herpele_squalostoma,Hildebrandtia_ornata,Hoplobatrachus_occipitalis,Hylarana_albolabris,Hylarana_amnicola,Hylarana_asperrima,Hylarana_galamensis,Hylarana_lepus,Hylarana_longipes,Hylarana_occidentalis,Hymenochirus_boettgeri,Hyperolius_balfouri,Hyperolius_baumanni,Hyperolius_bolifambae,Hyperolius_chlorosteus,Hyperolius_concolor,Hyperolius_fusciventris,Hyperolius_guttulatus,Hyperolius_igbettensis,Hyperolius_lamottei,Hyperolius_nasutus,Hyperolius_nitidulus,Hyperolius_ocellatus,Hyperolius_picturatus,Hyperolius_riggenbachi,Hyperolius_tuberculatus,Hyperolius_viridiflavus,Hyperolius_zonatus,Idiocranium_russeli,Kassina_arboricola,Kassina_cassinoides,Kassina_fusca,Kassina_maculosa,Kassina_schioetzi,Kassina_senegalensis,Leptodactylodon_bicolor,Leptodactylodon_ovatus,Leptodactylodon_perreti,Leptodactylodon_polyacanthus,Leptopelis_aubryi,Leptopelis_boulengeri,Leptopelis_brevirostris,Leptopelis_bufonides,Leptopelis_calcaratus,Leptopelis_macrotis,Leptopelis_millsoni,Leptopelis_modestus,Leptopelis_nordequatorialis,Leptopelis_notatus,Leptopelis_occidentalis,Leptopelis_omissus,Leptopelis_viridis,Nectophryne_afra,Nectophryne_batesii,Nyctibates_corrugatus,Opisthothylax_immaculatus,Petropedetes_natator,Petropedetes_newtoni,Petropedetes_parkeri,Phlyctimantis_boulengeri,Phrynobatrachus_africanus,Phrynobatrachus_alleni,Phrynobatrachus_auritus,Phrynobatrachus_batesii,Phrynobatrachus_calcaratus,Phrynobatrachus_cornutus,Phrynobatrachus_cricogaster,Phrynobatrachus_francisci,Phrynobatrachus_fraterculus,Phrynobatrachus_guineensis,Phrynobatrachus_gutturosus,Phrynobatrachus_hylaios,Phrynobatrachus_latifrons,Phrynobatrachus_liberiensis,Phrynobatrachus_natalensis,Phrynobatrachus_phyllophilus,Phrynobatrachus_plicatus,Phrynobatrachus_sandersoni,Phrynobatrachus_steindachneri,Phrynobatrachus_tokba,Phrynobatrachus_villiersi,Phrynobatrachus_werneri,Phrynomantis_microps,Ptychadena_aequiplicata,Ptychadena_bibroni,Ptychadena_longirostris,Ptychadena_oxyrhynchus,Ptychadena_pujoli,Ptychadena_pumilio,Ptychadena_schillukorum,Ptychadena_stenocephala,Ptychadena_straeleni,Ptychadena_superciliaris,Ptychadena_tellinii,Ptychadena_tournieri,Ptychadena_trinodis,Pyxicephalus_edulis,Scotobleps_gabonicus,Silurana_tropicalis,Tomopterna_cryptotis,Xenopus_fraseri,Xenopus_laevis,Xenopus_muelleri,WDPAID,iucn_cat
Kumawu Waters,GHA,Forest Reserve,19,polygon,None,NC,None,None,None,None,NC,None,None,None,None,None,None,Dec,NC,None,NC,NC,None,None,None,NC,None,NC,None,None,None,None,None,NC,None,None,None,None,None,NC,None,None,None,None,None,Dec,NC,None,None,NC,Dec,None,None,NC,None,None,NC,None,None,None,None,None,NC,Dec,NC,NC,None,None,NC,None,NC,None,None,None,None,None,NC,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,NC,None,NC,None,None,None,None,None,None,None,None,None,NC,None,None,NC,None,None,None,None,None,NC,None,NC,None,Inc,None,None,None,None,None,NC,None,Inc,Inc,NC,NC,Dec,None,NC,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,26574,Not Reported
Kumbo,GHA,Forest Reserve,197,polygon,None,None,None,None,None,None,NC,Dec,None,None,None,None,None,Dec,NC,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,NC,None,Inc,NC,None,None,None,NC,None,None,None,None,None,None,None,None,Dec,None,None,Dec,None,None,NC,None,None,None,None,None,None,None,None,NC,NC,None,None,NC,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,None,NC,None,None,Dec,None,None,Dec,None,NC,None,NC,None,None,None,None,None,None,None,NC,None,NC,None,Dec,None,NC,NC,None,None,None,NC,None,NC,None,None,NC,None,None,None,Dec,26446,Not Reported
Kumo,NGA,Forest Reserve,571,polygon,None,None,None,None,None,NC,None,NC,None,None,None,None,None,Dec,NC,Inc,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,NC,NC,None,NC,NC,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,NC,None,None,NC,None,None,None,None,None,None,None,None,NC,None,None,None,NC,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NC,None,NC,None,None,None,None,None,None,None,NC,None,NC,None,Dec,None,NC,NC,None,None,None,NC,None,NC,NC,None,NC,NC,None,Inc,Dec,36511,Not Reported
Kuna Hill,NGA,Forest Reserve,592,polygon,None,None,None,None,None,None,None,Inc,None,None,None,None,None,Dec,Inc,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,Inc,None,None,None,None,None,None,None,None,None,None,NC,NC,None,NC,NC,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Inc,None,None,None,None,None,None,None,None,NC,None,None,None,NC,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,Inc,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NC,None,Inc,None,None,None,None,None,None,None,Inc,None,NC,None,Inc,None,NC,NC,None,None,None,Inc,None,Inc,NC,None,NC,NC,None,Dec,NC,36533,Not Reported
Kurba,NGA,Forest Reserve,893,polygon,None,None,None,None,None,None,None,None,None,None,None,None,None,Dec,Inc,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,Inc,None,None,None,None,None,None,None,None,None,None,Dec,NC,None,NC,NC,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,NC,None,None,None,NC,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,Inc,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,NC,None,NC,None,Inc,None,NC,NC,None,None,None,NC,None,Inc,Dec,None,NC,NC,None,NC,Dec,342475,Not Reported
Kurmayai,NGA,Forest Reserve,399,polygon,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Inc,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,Inc,None,None,Inc,NC,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,NC,None,None,None,NC,None,None,None,None,None,None,None,Inc,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,NC,Inc,None,None,None,None,None,NC,None,None,None,NC,None,None,Inc,36327,Not Reported
Kurmi Adebi,NGA,Forest Reserve,798,polygon,None,None,None,None,None,NC,None,Dec,None,None,None,None,None,NC,NC,None,None,None,None,None,None,Dec,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Dec,NC,None,None,NC,None,None,None,NC,None,None,None,None,None,None,None,None,Dec,None,None,Dec,None,None,Dec,None,None,None,None,None,None,None,None,NC,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Dec,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Dec,None,None,None,None,NC,None,Dec,None,None,None,None,None,None,None,Dec,None,Dec,None,Dec,None,NC,None,None,None,None,NC,None,None,None,None,NC,None,None,Dec,Dec,36748,Not Reported
Kurmi Agori,NGA,Forest Reserve,775,polygon,None,None,None,None,None,NC,None,Dec,None,None,None,None,None,Dec,Dec,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,Inc,None,None,None,None,None,None,None,None,None,None,Dec,NC,None,Inc,NC,None,None,None,NC,None,None,None,None,None,None,None,None,Dec,None,None,Dec,None,None,Dec,None,None,None,None,None,None,None,None,Dec,None,None,None,NC,None,None,None,None,None,None,None,Inc,None,None,None,None,None,None,None,None,Dec,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Dec,None,None,None,None,NC,None,NC,None,None,None,None,None,None,None,Dec,None,Dec,None,Dec,None,NC,None,None,None,None,NC,None,Dec,Inc,None,Dec,None,None,Dec,Dec,36725,Not Reported
Kurmi Agudu,NGA,Forest Reserve,791,polygon,None,None,None,None,None,NC,None,Dec,None,None,None,None,None,Dec,NC,None,None,None,None,None,None,Inc,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NC,NC,None,None,NC,None,None,None,NC,None,None,None,None,None,None,None,None,Dec,None,None,Dec,None,None,NC,None,None,None,None,None,None,None,None,NC,None,None,None,NC,None,None,None,None,None,None,None,Inc,None,None,None,None,None,None,None,None,Dec,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Dec,None,None,None,None,NC,None,NC,None,None,None,None,None,None,None,Dec,None,NC,None,Dec,None,NC,None,None,None,None,NC,None,Inc,Inc,None,NC,None,None,Dec,Dec,36741,Not Reported
Kurmi Agyaragu,NGA,Forest Reserve,792,polygon,None,None,None,None,None,NC,None,Dec,None,None,None,None,None,Dec,NC,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NC,NC,None,None,NC,None,None,None,NC,None,None,None,None,None,None,None,None,Dec,None,None,Dec,None,None,NC,None,None,None,None,None,None,None,None,NC,None,None,None,NC,None,None,None,None,None,None,None,Inc,None,None,None,None,None,None,None,None,Dec,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Dec,None,None,None,None,NC,None,Dec,None,None,None,None,None,None,None,Dec,None,NC,None,Dec,None,NC,None,None,None,None,NC,None,Inc,Inc,None,NC,None,None,Dec,Dec,36742,Not Reported
Kurmi Akanga,NGA,Forest Reserve,799,polygon,None,None,None,None,None,NC,None,Dec,None,None,None,None,None,NC,NC,None,None,None,None,None,None,Dec,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Dec,NC,None,None,NC,None,None,None,NC,None,None,None,None,None,None,None,None,Dec,None,None,Dec,None,None,Dec,None,None,None,None,None,None,None,None,NC,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Dec,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Dec,None,None,None,None,NC,None,Dec,None,None,None,None,None,None,None,Dec,None,Dec,None,Dec,None,NC,None,None,None,None,NC,None,None,None,None,NC,None,None,Dec,Dec,36749,Not Reported
Kurmi Akeno,NGA,Forest Reserve,797,polygon,None,None,None,None,None,NC,None,Dec,None,None,None,None,None,NC,NC,None,None,None,None,None,None,Dec,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Dec,NC,None,None,NC,None,None,None,NC,None,None,None,None,None,None,None,None,Dec,None,None,Dec,None,None,Dec,None,None,None,None,None,None,None,None,NC,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Dec,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Dec,None,None,None,None,NC,None,Dec,None,None,None,None,None,None,None,Dec,None,Dec,None,Dec,None,NC,None,None,None,None,NC,None,None,None,None,NC,None,None,Dec,Dec,36747,Not Reported
Kurmi Akura,NGA,Forest Reserve,773,polygon,None,None,None,None,None,NC,None,Dec,None,None,None,None,None,Dec,Dec,None,None,None,None,None,None,Inc,None,None,None,None,None,None,None,None,Inc,None,None,None,None,None,None,None,None,None,None,Dec,NC,None,Inc,NC,None,None,None,NC,None,None,None,None,None,None,None,None,Dec,None,None,Dec,None,None,Dec,None,None,None,None,None,None,None,None,NC,None,None,None,NC,None,None,None,None,None,None,None,Inc,None,None,None,None,None,None,None,None,Dec,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Dec,None,None,None,None,NC,None,Dec,None,None,None,None,None,None,None,Dec,None,Dec,None,Dec,None,NC,None,None,None,None,NC,None,NC,Inc,None,Dec,None,None,Dec,Dec,36723,Not Reported
Kurmi Kurayi,NGA,Forest Reserve,774,polygon,None,None,None,None,None,NC,None,Dec,None,None,None,None,None,Dec,Dec,None,None,None,None,None,None,Inc,None,None,None,None,None,None,None,None,Inc,None,None,None,None,None,None,None,None,None,None,Dec,NC,None,Inc,NC,None,None,None,NC,None,None,None,None,None,None,None,None,Dec,None,None,Dec,None,None,Dec,None,None,None,None,None,None,None,None,Dec,None,None,None,NC,None,None,None,None,None,None,None,Inc,None,None,None,None,None,None,None,None,Dec,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Dec,None,None,None,None,NC,None,NC,None,None,None,None,None,None,None,Dec,None,Dec,None,Dec,None,NC,None,None,None,None,NC,None,Dec,Inc,None,Dec,None,None,Dec,Dec,36724,Not Reported
Kurmi Maiakuya,NGA,Forest Reserve,789,polygon,None,None,None,None,None,NC,None,Dec,None,None,None,None,None,Dec,NC,None,None,None,None,None,None,Inc,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NC,NC,None,None,NC,None,None,None,NC,None,None,None,None,None,None,None,None,Dec,None,None,Dec,None,None,NC,None,None,None,None,None,None,None,None,NC,None,None,None,NC,None,None,None,None,None,None,None,Inc,None,None,None,None,None,None,None,None,Dec,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Dec,None,None,None,None,NC,None,NC,None,None,None,None,None,None,None,Dec,None,NC,None,Dec,None,NC,None,None,None,None,NC,None,Inc,Inc,None,NC,None,None,Dec,Dec,36739,Not Reported
Kurmi Maisamari,NGA,Forest Reserve,795,polygon,None,None,None,None,None,NC,None,Dec,None,None,None,None,None,Dec,Dec,None,None,None,None,None,None,Dec,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Dec,NC,None,None,NC,None,None,None,NC,None,None,None,None,None,None,None,None,Dec,None,None,Dec,None,None,Dec,None,None,None,None,None,None,None,None,NC,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Dec,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Dec,None,None,None,None,NC,None,Dec,None,None,None,None,None,None,None,Dec,None,Dec,None,Dec,None,NC,None,None,None,None,NC,None,Inc,None,None,Dec,None,None,NC,Dec,36745,Not Reported
Kurmi Tagwaye North,NGA,Forest Reserve,784,polygon,None,None,None,None,None,NC,None,Dec,None,None,None,None,None,NC,NC,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Inc,None,None,None,None,None,None,None,None,None,None,NC,NC,None,Inc,NC,NC,None,None,NC,None,None,None,None,None,None,None,None,Dec,None,None,Dec,None,None,NC,None,None,None,None,None,None,None,None,NC,None,None,None,NC,None,None,None,None,None,None,None,Inc,None,None,None,None,None,None,None,None,Dec,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Dec,None,None,None,None,NC,None,Dec,None,None,None,None,None,None,None,Dec,None,NC,None,Dec,None,NC,None,None,None,None,NC,None,NC,NC,None,NC,None,None,Dec,Dec,36734,Not Reported
Kurmi Tagwaye South,NGA,Forest Reserve,787,polygon,None,None,None,None,None,NC,None,Dec,None,None,None,None,None,NC,NC,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Inc,None,None,None,None,None,None,None,None,None,None,NC,NC,None,Inc,NC,NC,None,None,NC,None,None,None,None,None,None,None,None,Dec,None,None,Dec,None,None,NC,None,None,None,None,None,None,None,None,NC,None,None,None,NC,None,None,None,None,None,None,None,Inc,None,None,None,None,None,None,None,None,Dec,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Dec,None,None,None,None,NC,None,Dec,None,None,None,None,None,None,None,Dec,None,NC,None,Dec,None,NC,None,None,None,None,NC,None,NC,NC,None,NC,None,None,Dec,Dec,36737,Not Reported
Kurmin Bakin Kogin,NGA,Forest Reserve,606,polygon,None,None,None,None,None,Inc,None,NC,None,None,None,None,None,NC,Inc,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,Dec,NC,None,NC,Inc,Inc,None,None,Inc,None,None,None,None,None,None,None,None,NC,None,None,NC,None,None,NC,None,None,None,None,None,None,None,None,NC,None,None,None,NC,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,Inc,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,NC,None,Inc,None,None,None,None,None,None,None,NC,None,NC,None,NC,None,Inc,NC,None,None,None,Inc,None,NC,NC,None,NC,None,None,NC,NC,36548,Not Reported
Kurmin Danki,NGA,Forest Reserve,79,polygon,None,None,None,None,None,NC,None,NC,None,None,NC,None,None,NC,NC,None,None,None,None,None,None,NC,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NC,NC,Inc,None,Inc,NC,None,None,NC,None,NC,None,None,Inc,None,None,None,None,None,None,NC,None,None,NC,None,None,NC,None,None,None,None,None,Inc,None,Inc,None,NC,None,None,NC,None,None,None,None,NC,None,None,None,None,NC,Inc,None,None,NC,None,None,None,None,None,None,NC,None,None,None,None,None,Inc,None,None,None,None,None,None,NC,None,None,NC,None,None,None,None,None,None,None,Inc,None,NC,None,NC,None,NC,None,NC,None,None,None,None,None,None,None,NC,None,None,NC,NC,36907,Not Reported
Kurmin Kogi,NGA,Forest Reserve,460,polygon,None,None,None,None,None,None,None,Inc,None,None,None,None,None,Inc,Inc,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,Dec,NC,None,NC,Inc,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,NC,None,None,None,NC,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,NC,None,NC,None,Inc,None,NC,NC,None,None,None,NC,None,NC,NC,None,NC,NC,None,Dec,NC,36394,Not Reported
Kurmin Male,NGA,Forest Reserve,599,polygon,None,None,None,None,None,None,None,NC,None,None,None,None,None,NC,Inc,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,Dec,NC,None,NC,Inc,Inc,None,None,NC,None,None,None,None,None,None,None,None,Inc,None,None,Inc,None,None,NC,None,None,None,None,None,None,None,None,NC,None,None,None,NC,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,NC,None,Inc,None,None,None,None,None,None,None,NC,None,NC,None,NC,None,NC,NC,None,None,None,NC,None,NC,NC,None,NC,Inc,None,NC,NC,36540,Not Reported
Kurra Jekko,NGA,Forest Reserve,724,polygon,None,None,None,None,None,NC,None,NC,None,None,None,None,None,NC,NC,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,NC,NC,None,NC,NC,NC,None,None,NC,None,None,None,None,None,None,None,None,NC,None,None,NC,None,None,NC,None,None,None,None,None,None,None,None,NC,None,None,None,NC,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,NC,None,NC,None,None,None,None,None,None,None,NC,None,NC,None,Dec,None,NC,Inc,None,None,None,NC,None,NC,NC,None,NC,None,None,NC,NC,36672,Not Reported
Kuru Hills,SLE,Forest Reserve,12,polygon,None,None,None,None,None,None,NC,Inc,None,None,None,None,None,None,NC,None,None,None,None,None,None,Dec,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,None,None,Dec,NC,None,None,NC,NC,None,None,NC,None,None,None,None,None,None,None,NC,NC,NC,NC,None,NC,None,NC,None,NC,None,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,Inc,None,None,None,None,None,None,None,None,Dec,None,None,None,None,NC,None,None,None,None,NC,None,None,NC,None,None,Inc,NC,NC,None,None,NC,None,NC,None,None,None,None,NC,None,None,Dec,None,NC,None,Inc,None,NC,None,None,None,NC,None,NC,Inc,None,None,Dec,None,None,None,None,10733,Not Reported
Kurumi Zano,NGA,Forest Reserve,815,polygon,None,None,None,None,None,NC,None,NC,None,None,None,None,None,NC,NC,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Dec,NC,None,None,NC,None,None,None,NC,None,None,None,None,None,None,None,None,NC,None,None,NC,None,None,NC,None,None,None,None,None,None,None,None,Inc,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,NC,None,NC,None,None,None,None,None,None,None,NC,None,NC,None,Dec,None,NC,None,None,None,None,Inc,None,None,None,None,NC,None,None,None,NC,36765,Not Reported
Kusoru,NGA,Forest Reserve,702,polygon,None,None,None,None,None,NC,None,NC,None,None,None,None,None,NC,NC,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,NC,NC,None,Dec,NC,None,None,None,NC,None,None,None,None,None,None,None,None,NC,None,None,NC,None,None,NC,None,None,None,None,None,None,None,None,NC,None,None,None,NC,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NC,None,None,Inc,None,NC,None,NC,None,None,None,None,None,None,None,NC,None,NC,None,Dec,None,NC,Inc,None,None,None,NC,None,NC,NC,None,NC,None,None,NC,NC,36650,Not Reported
Kusoziko,NGA,Forest Reserve,649,polygon,None,None,None,None,None,None,NC,NC,None,None,None,None,None,Dec,NC,None,None,None,None,None,None,Inc,None,None,None,None,None,None,None,None,Inc,None,None,None,None,None,None,None,None,None,None,NC,NC,None,Inc,NC,None,None,None,NC,None,None,None,None,None,None,None,None,Dec,None,None,Dec,None,None,NC,None,None,None,None,None,None,None,None,Inc,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NC,None,None,Dec,None,NC,None,NC,None,None,None,None,None,None,None,NC,None,NC,None,Dec,None,NC,None,None,None,None,NC,None,NC,Inc,None,NC,None,None,None,NC,36595,Not Reported
Kusur,NGA,Forest Reserve,299,polygon,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,NC,Inc,None,NC,NC,None,None,None,Inc,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,Inc,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Inc,None,None,None,None,None,Inc,NC,None,None,None,None,None,NC,Inc,None,None,NC,None,None,NC,36227,Not Reported
Kutigi,NGA,Forest Reserve,646,polygon,None,None,None,None,None,None,NC,NC,None,None,None,None,None,Dec,NC,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,Inc,None,None,None,None,None,None,None,None,None,None,NC,NC,None,Inc,NC,None,None,None,NC,None,None,None,None,None,None,None,None,Dec,None,None,Dec,None,None,NC,None,None,None,None,None,None,None,None,NC,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NC,None,None,Dec,None,NC,None,NC,None,None,None,None,None,None,None,NC,None,NC,None,Dec,None,NC,None,None,None,None,NC,None,NC,Inc,None,NC,None,None,None,NC,36592,Not Reported
Kuyambana,NGA,Game Reserve,222,polygon,None,None,None,None,None,None,None,Inc,None,None,None,None,None,Inc,NC,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,Dec,NC,None,NC,NC,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,NC,None,None,NC,None,None,None,None,None,None,None,None,NC,None,None,None,NC,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NC,None,None,Inc,None,NC,None,None,None,None,None,None,None,None,None,NC,None,NC,None,NC,None,NC,Inc,None,None,None,NC,None,NC,NC,None,Inc,NC,None,None,NC,5156,Not Reported
Kuzosiko,NGA,Forest Reserve,827,polygon,None,None,None,None,None,None,NC,NC,None,None,None,None,None,Dec,NC,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,Inc,None,None,None,None,None,None,None,None,None,None,NC,NC,None,Inc,NC,None,None,None,NC,None,None,None,None,None,None,None,None,Dec,None,None,Dec,None,None,NC,None,None,None,None,None,None,None,None,NC,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NC,None,None,Dec,None,NC,None,NC,None,None,None,None,None,None,None,NC,None,NC,None,Dec,None,NC,None,None,None,None,NC,None,NC,Inc,None,NC,None,None,None,NC,36777,Not Reported
Kwaimbana,NGA,Forest Reserve,924,polygon,None,None,None,None,None,None,Inc,Inc,None,None,None,None,None,Inc,NC,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,Dec,NC,None,NC,NC,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,NC,None,None,NC,None,None,None,None,None,None,None,None,NC,None,None,None,NC,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NC,None,None,Inc,None,NC,None,None,None,None,None,None,None,None,None,NC,None,NC,None,NC,None,NC,Inc,None,None,None,Inc,None,NC,NC,None,Inc,NC,None,None,NC,300710,Not Reported
